1. Lea y Raquel, Sifra y Fúa, Séfora y María, Noemí y Rut
2. Balac, Eglón, Sijón, Og
3. 930 años, 110 años, 969 años, 120 años
4. Uzá, Josías, Roboam, Uzías
5. Ahimelec, Abiatar, Sadoc, Elí
6. Abigail, Mical, Betsabé, Maaca
7. Hebreos, Santiago, 2 Pedro, Judas
8. Gedeón, Jefté, Sansón, Barac
9. Malco, Marcos, Cornelio, Bernabé
10. Isaías, Jeremías, Ezequiel, Daniel
11. Merab, Mical, Rizpa, Betsabé
12. Éfeso, Esmirna, Sardis, Laodicea
13. Matías, Bernabé, Silas, Justo
14. Baal, Dagón, Astarot, Moloc
15. Isaías, Jeremías, Oseas, Ezequiel
16. Roboam, Jeroboam, Omrí, Jehú
17. Ofni y Finees, Nadab y Abiú, Moisés y Aarón, Sadoc y Abiatar
18. Sacerdote, Recaudador, Pescador, Pastor y cultivador de higos
19. Lidia, Priscila, Dorcas (Tabita), Febe
20. Chipre, Creta, Malta, Patmos
21. Aarón, Jetro, Melquisedec, Eleazar
22. Débora, Jael, Rut, Dalila
23. Ner, Abdón, Cis, Saúl
24. Joaquín, Manasés, Joacaz, Sedequías
25. Romanos, Gálatas, 1 Corintios, Efesios
26. Husai, Ahitofel, Joab, Abner
27. Un caballo, Una asna, Un camello, Un buey
28. Monte Carmelo, Monte de los Olivos, Monte Tabor, Monte Gilboa
29. Rubén, Simeón, Leví, Judá
30. Augusto César, Tiberio César, Claudio César, Nerón
31. Abdías, Sofonías, Hageo, Malaquías
32. Ester, Jael, Débora, Noemí
33. Hizo que el hierro flotara, Dividió el río, Multiplicó las herramientas, Ablandó el metal
34. Caín, Nimrod, Set, Asur
35. José, Juan Marcos, Silas, Timoteo
36. Saraf, Hadasa, Jedida, Atalia
37. Amós, Hilquías, Berequías, Amoz
38. Nabucodonosor, Artajerjes, Ciro, Darío
39. Bernabé, Juan Marcos, Silas, Lucas
40. Ezequías, Manasés, Joas, Josías
41. Pozo de Siquem, Pozo de Jacob, Pozo de Beerseba, Pozo de Harán
42. Labán, Jetro (Reuel), Abimelec, Balac
43. Las ranas, Los piojos, Las moscas, Las langostas
44. Isaac, Jacob, Ismael, Esaú
45. Nicodemo, Lázaro, Simón, José
46. Fariseos, Esenios, Saduceos, Zelotes
47. Joacim, Sedequías, Josías, Manasés
48. Peniel, Betel, Jericó, Hebrón
49. Julio, Cornelio, Longinos, Claudio
50. Isaías, Jeremías, Elías, Eliseo
