1. Obed-edom, Abinadab, Eleazar, Aminadab
2. Sijón, Eglón, Balac, Og
3. Rubén, Simeón, Leví, Judá
4. Merab, Rizpa, Mical, Betsabé
5. Alejandro, Gayo, Demetrio, Aristarco
6. Ciro, Hiram, Nabucodonosor, Darío
7. Ibzán, Elón, Jaír, Abdón
8. Seraías, Safán, Baruc, Hilquías
9. Jebús, Sión, Samaria, Siquem
10. Hiram, Ben-hadad, Et-baal, Hazael
11. Abisai, Benaía, Eleazar, Joseb-babasebet
12. Quemos, Milcom (Moloc), Baal, Astarot
13. Hazael, Eliseo, Baruc, Giezi
14. Enoc, Matusalén, Lamec, Caín
15. Is-boset, Absalón, Mefiboset, Amnón
16. Hageo, Sofonías, Malaquías, Nahúm
17. Babilonia, Ectabana, Persépolis, Susa
18. Zacarías, Joiada, Azarías, Jeremías
19. Sadrac, Mesac, Abed-nego, Beltsasar
20. Refidim, Cades (Meriba), Elim, Mara
21. Félix, Festo, Galión, Lisias
22. Monte Sinaí, Monte Nebo, Monte Gerizim, Monte Hor
23. Ebed-melec, Baruc, Sofonías, Gedalías
24. Abinoam, Ragüel, Jetro, Lapidot
25. Asdod, Ascalón, Gat, Ecrón
26. Ahitob, Sadoc, Ahimelec, Elí
27. Ahitofel, Joab, Husai, Abner
28. Betel, Mahanaim, Peniel, Sucot
29. Esmirna, Filadelfia, Pérgamo, Sardis
30. Ahinoam, Maaca, Abigail, Mical
31. Josías, Uzías, Salomón, Ezequías
32. Eliezer, Phinehas, Gerson, Hobab
33. Timoteo, Teófilo, Tito, Filemón
34. María, Juana, Marta, Salomé
35. Anás, Jonatán, Caifás, Teófilo
36. Sofonías, Habacuc, Hageo, Malaquías
37. Demas, Épfras, Lucas, Aristarco
38. Priscila, Febe, Damaris, Lidia
39. Omrí, Tibni, Elá, Zimri
40. Betuel, Abimelec, Nacor, Labán
41. Las moscas, La peste, El granizo, Las úlceras (sexta plaga)
42. Sofonías, Habacuc, Nahúm, Abdías
43. Tíquico, Trófimo, Éutico, Olimpas
44. Gnósticos, Nicolaítas, Judaizantes, Ebionitas
45. Seleuco IV, Ptolomeo IV, Antíoco IV Epífanes, Jerjes I
46. Jehová-salom, Jehová-jireh, Jehová-sama, Jehová-nisi
47. Antonio Félix, Porcio Festo, Julio César, Publio
48. Sedequías, Josías, Joacim, Manasés
49. Abiel, Ner, Baal, Seol
50. Cueva de Macpela, Belén, Siquem, Hebrón (monte)
